energy, energy_uncertainty, intensity, intensity_uncertainty
898.4, 0, 0.000000072, 0.000000029008936554103462
902.5, 0, 0.0000003, 0.00000005008991914547277
912.4, 0, 0.00000025, 0.00000005006246098625197
921.5, 0.3, 0.00000019, 0.00000004004509957535379
928.8, 0, 0.000000055, 0.000000028005401264756053
945.7, 0, 0.000000056, 0.00000002800559944011197
955.7, 0, 0.00000058, 0.00000006027968148555531
1014.7, 0.5, 0.000000064, 0.000000010020459071320036
17.136, 0, 36.63949694703623, 0
97.078, 0, 0.0011632926626854812, 0.00003061861336744613
101.068, 0, 0.0018517871102920744, 0.00004817989051386077
114.16, 0, 0.0006752522408230983, 0.000020969345937732367
115.608, 0, 0.0009075390116662442, 0.00002797983432979639
117.47, 0, 0.0002322867708431458, 0.000007964488231685754
